icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,epoch_time,date,time
a72746,N560DS  ,United States,1659915689.0,1659915689,-120.9415,47.1764,2727.96,False,72.15,102.35,0.33,,2865.12,4661,False,0,1659915689,2022-08-07,19:41:29
8964e1,UAE232  ,United Arab Emirates,1659915689.0,1659915689,26.1392,44.8986,12496.8,False,257.6,133.87,0.33,,13060.68,7673,False,0,1659915689,2022-08-07,19:41:29
4077ba,EXS84GV ,United Kingdom,1659915689.0,1659915689,11.832,47.6539,11582.4,False,222.73,303.51,0.0,,12016.74,7547,False,0,1659915689,2022-08-07,19:41:29
4bb02b,THY2BM  ,Turkey,1659915689.0,1659915689,9.7189,49.9521,10386.06,False,228.08,315.27,0.0,,10843.26,3207,False,0,1659915689,2022-08-07,19:41:29
4077bb,EXS97P  ,United Kingdom,1659915689.0,1659915689,12.618,47.9962,10972.8,False,227.01,315.73,0.0,,11407.14,7547,False,0,1659915689,2022-08-07,19:41:29
8964e3,UAE76F  ,United Arab Emirates,1659915689.0,1659915689,23.5112,46.5999,11887.2,False,257.92,131.93,0.0,,12412.98,7670,False,0,1659915689,2022-08-07,19:41:29
a64dd1,N505PJ  ,United States,1659915689.0,1659915689,-84.002,34.6712,5585.46,False,166.27,189.26,-13.66,,5966.46,2641,False,0,1659915689,2022-08-07,19:41:29
a009da,,United States,,1659915510,,,,False,241.06,167.8,0.65,,,,False,0,1659915689,2022-08-07,19:41:29
c07f32,WEN3140 ,Canada,1659915689.0,1659915689,-114.4092,51.4566,3520.44,False,155.87,162.52,-6.83,,3688.08,,False,0,1659915689,2022-08-07,19:41:29
4077c4,LNX12MO ,United Kingdom,1659915689.0,1659915689,-79.4017,43.3762,2948.94,False,148.21,334.95,-6.83,,3093.72,7170,False,0,1659915689,2022-08-07,19:41:29
ac259b,DAL751  ,United States,1659915688.0,1659915688,-122.313,47.4601,,True,11.83,90.0,,,,3523,False,0,1659915689,2022-08-07,19:41:29
ad4584,SWA179  ,United States,1659915689.0,1659915689,-111.26,36.0847,11887.2,False,238.21,90.87,0.0,,12626.34,7745,False,0,1659915689,2022-08-07,19:41:29
